experiment,threshold,accuracy,precision,recall,f1
exp_a,-2.0,0.5,0.5,1.0,0.6667
exp_a,-1.0,0.5075,0.5038,0.991,0.668
exp_a,-0.5,0.542,0.5222,0.99,0.6837
exp_a,0.0,0.5545,0.5292,0.988,0.6892
exp_a,0.5,0.623,0.5724,0.973,0.7207
exp_a,1.0,0.6325,0.5812,0.948,0.7206
exp_a,1.5,0.6595,0.6058,0.913,0.7284
exp_a,2.0,0.638,0.5996,0.831,0.6966
exp_a,3.0,0.6195,0.6157,0.636,0.6257
exp_b,-2.0,0.5025,0.5013,1.0,0.6678
exp_b,-1.0,0.5255,0.5131,1.0,0.6782
exp_b,-0.5,0.565,0.5352,0.988,0.6943
exp_b,0.0,0.5935,0.5534,0.969,0.7045
exp_b,0.5,0.6575,0.6072,0.892,0.7226
exp_b,1.0,0.679,0.6356,0.839,0.7233
exp_b,1.5,0.6645,0.6589,0.682,0.6703
exp_b,2.0,0.638,0.6663,0.553,0.6044
exp_b,3.0,0.591,0.7252,0.293,0.4174
