experiment,threshold,accuracy,precision,recall,f1
exp_a,-2.0,0.5095,0.5048,0.998,0.6705
exp_a,-1.0,0.526,0.5134,0.997,0.6778
exp_a,-0.5,0.5315,0.5163,0.997,0.6803
exp_a,0.0,0.5495,0.5263,0.991,0.6875
exp_a,0.5,0.5605,0.5325,0.99,0.6925
exp_a,1.0,0.5745,0.5425,0.952,0.6911
exp_a,1.5,0.583,0.5487,0.936,0.6918
exp_a,2.0,0.55,0.5329,0.811,0.6431
exp_a,3.0,0.5095,0.5077,0.624,0.5599
exp_b,-2.0,0.5315,0.5163,0.998,0.6805
exp_b,-1.0,0.571,0.5386,0.99,0.6977
exp_b,-0.5,0.592,0.5513,0.988,0.7077
exp_b,0.0,0.632,0.5791,0.966,0.7241
exp_b,0.5,0.663,0.6023,0.96,0.7402
exp_b,1.0,0.6675,0.6278,0.823,0.7122
exp_b,1.5,0.695,0.6622,0.796,0.723
exp_b,2.0,0.6265,0.6439,0.566,0.6024
exp_b,3.0,0.5735,0.6509,0.317,0.4264
